neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Queens,Rockaway Beach,Entire home/apt,108,2,177,40.58809,-73.81255
Unknown,City of Santa Cruz,Entire home/apt,382,2,126,36.96829,-121.99883
Unknown,"Brightwood Park, Crestwood, Petworth",Entire home/apt,350,2,10,38.95473,-77.01243
Unknown,Laurel,Private room,125,1,0,37.79408,-122.20476
Other Cities,Alhambra,Entire home/apt,211,1,43,34.06303,-118.16256
Unknown,City of North Las Vegas,Entire home/apt,140,2,86,36.20355,-115.12138
Unknown,Santa Clara,Private room,99,2,19,37.35704,-121.99218
Queens,Long Island City,Private room,44,30,0,40.75356107034668,-73.93659424772933
Unincorporated Areas,East Los Angeles,Entire home/apt,112,1,3,34.00835675089727,-118.1280796384488
Unknown,Chaffee Park,Entire home/apt,204,3,9,39.78661,-105.01675
Unknown,District 17,Entire home/apt,422,1,13,36.13518,-86.78545
Unknown,Unincorporated Areas,Entire home/apt,100,90,11,36.10464,-115.25943
Manhattan,East Village,Private room,72,4,3,40.7236,-73.98731
City of Los Angeles,Sherman Oaks,Private room,99,30,0,34.16225,-118.4545
Brooklyn,Williamsburg,Entire home/apt,147,30,12,40.71675,-73.95362
Unknown,Pompano Beach,Private room,281,1,0,26.2423439428732,-80.0884069966332
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,30,40,40.67986,-73.91107
Unknown,District 21,Entire home/apt,497,3,14,36.16419,-86.80467
Unknown,Irish Channel,Entire home/apt,235,30,96,29.92218,-90.08577
Unknown,Mission,Entire home/apt,198,30,0,37.74946,-122.41802
Unknown,Union Station,Entire home/apt,186,30,18,39.75466,-104.99614
Other Cities,Santa Monica,Private room,243,2,176,34.00956,-118.49371
Queens,Ozone Park,Private room,75,4,0,40.68363,-73.83746
Unknown,Davie,Entire home/apt,1521,3,2,26.08471,-80.30275
Unknown,Pompano Beach,Entire home/apt,690,2,0,26.26032,-80.0859
Unknown,Lower West Side,Entire home/apt,159,1,144,41.85849,-87.64372
Other Cities,Lancaster,Private room,36,1,0,34.67296,-118.19008
Unknown,Portland Downtown,Entire home/apt,144,2,11,45.51466,-122.68499
City of Los Angeles,Sherman Oaks,Entire home/apt,175,30,0,34.142,-118.43715
City of Los Angeles,Valley Village,Entire home/apt,793,30,29,34.16739,-118.40711
Unknown,28806,Entire home/apt,285,1,29,35.58956,-82.61997
City of Los Angeles,Atwater Village,Entire home/apt,120,30,132,34.11818,-118.26183
Unknown,Russell,Entire home/apt,214,1,3,45.53446285337235,-122.53542935997147
Other Cities,Santa Monica,Entire home/apt,84,31,14,34.01352,-118.49547
Unknown,Old Town,Entire home/apt,86,1,47,32.75155,-117.19698
Unknown,Washington Park West,Entire home/apt,411,1,36,39.70952,-104.97398
